Name,Hardness,Elemental Affinity,Quality,Description,Crafting Bonus
Ashiron,45,Fire,Common,Dull grey iron streaked with faint char lines.,Minor fire resistance on crafted items
Brinefer,40,Water,Common,Rough salt-encrusted ore pulled from coastal deposits.,Improves durability in wet conditions
Mudstone,35,Earth,Common,Dense earthen ore with a clay-like compacted exterior.,Increases weight and physical defense
Coldglass,55,Ice,Common,Brittle glassy ore that stays cool to the touch.,Applies mild chill on contact
Grimalloy,65,Necrotic,Common,A dark alloy threaded with pulsing dark veins.,Drains minor vitality on hit
Bogmetal,50,Nature,Common,Mossy-hued metal smelling faintly of earth and decay.,Improves natural camouflage for worn items
Duskore,60,Shadow,Common,An ore that seems to absorb the light around it.,Minor stealth bonus on crafted gear
Sootferrite,45,Fire,Common,"Black as coal, leaves ashy residue on bare skin.",Adds minor fire damage to weapons
Saltglass,40,Water,Common,Crystalline formations from compressed evaporated seawater.,Corrodes non-sealed metals on contact
Dunestone,70,Earth,Common,Sandy-brown ore with visible dune-like grain patterns.,Adds bulk to constructed armor pieces
Snowiron,45,Ice,Common,Iron ore with faint blue tint from cold mineral deposits.,Applies minor chill on hit
Dawniron,55,Solar,Common,Warm-tinted iron found near sun-exposed ridgelines.,Adds minor radiant damage to weapons
Cragore,80,Earth,Common,Jagged irregular ore chunks from deep cliff faces.,Increases physical impact force of weapons
Peatmetal,40,Nature,Common,Dark organic metal found embedded in peat bogs.,Minor nature affinity in crafted weapons
Ashglass,50,Fire,Common,Glassy ore formed from silica in volcanic ash deposits.,Minor fire damage on weapons
Holloware,45,Air,Common,Lightweight ore with porous internal channel structure.,Reduces weight of crafted items
Mudferrite,40,Earth,Common,Soft ferrite ore laden with mineral-rich mud deposits.,Modest defense bonus on armor
Galestone,60,Air,Common,Light grey ore that rattles faintly in the wind.,Reduces equipment weight slightly
Swampiron,50,Water,Common,Greenish iron ore pulled from marsh and fen beds.,Minor water resistance on armor
Blightiron,65,Necrotic,Common,Iron ore threaded with dark corruption from blighted earth.,Weakens enemies on prolonged contact
Cinderore,75,Fire,Common,Ore that still smokes faintly even after cooling.,Adds burn damage to weapons
Frostslate,45,Ice,Common,Slate-like ore with frost crystal formations growing through it.,Applies chill on hit
Greyslate,40,None,Common,Plain dull-grey slate ore used in basic construction.,No notable bonuses
Brackenmetal,55,Nature,Common,Rough metal covered in fern-like mineral growths.,Minor nature resistance on armor
Loamglass,50,Earth,Common,Dark earth-rich glass with high mineral content.,Increases tool endurance and longevity
Rimefrost,45,Ice,Common,An ore perpetually coated in thin crystalline ice layers.,Applies freeze on extended contact
Stormslate,85,Lightning,Common,Flat grey ore that retains static charge after storms.,Adds minor shock damage to weapons
Gritstone,35,Earth,Common,Coarse abrasive ore of low refinement quality.,Basic construction material only
Mireiron,50,Water,Common,Bog iron from stagnant pools with a dark green sheen.,Mild water resistance on armor
Coalferrite,55,Fire,Common,Ferrite closely associated with coal seam deposits.,Adds minor fire damage to weapons
Saltferrite,45,Water,Common,Coastal ferrite with a saline crystalline outer layer.,Mild corrode on contact with metals
Dustmetal,40,Air,Common,Powdery ore that crumbles if over-refined during crafting.,Lightweight construction material
Embriron,70,Fire,Common,Iron ore from near-volcanic regions; always slightly warm.,Adds minor fire damage to weapons
Darkmire,55,Shadow,Common,Dark green-black ore from lightless swamp depths.,Minor stealth bonus on crafted gear
Coldmetal,45,Ice,Common,Permanently cold metal from deep arctic deposits.,Applies chill on any contact
Rustferrite,50,Necrotic,Common,Heavily oxidized ferrite with a reddish-brown hue.,Drains durability of contact metals
Slagiron,60,Fire,Common,Iron reclaimed and refined from smelting slag.,Moderate fire resistance on armor
Ridgestone,70,Earth,Common,Compacted ore from exposed mountain ridge formations.,Adds structural integrity to constructions
Bleakiron,50,Shadow,Common,Grey-black iron with an oppressive lightless quality.,Slight morale drain aura on nearby foes
Gravelmetal,45,Earth,Common,Metal laden with embedded gravel and rock aggregate.,Adds bulk and weight to armor
Frostglass,60,Ice,Common,Glassy ice-mineral ore formed in tundra outcroppings.,Applies chill on hit
Cinderash,65,Fire,Common,Fine-grained ashen ore with fire mineral traces inside.,Minor burn damage to weapons
Veinore,60,Necrotic,Common,Ore threaded with dark pulsing corrupted mineral veins.,Minor life drain on hit
Murkiron,55,Shadow,Common,Iron with a dark smoky quality that resists ambient light.,Minor stealth bonus on gear
Bileore,45,Poison,Common,Yellow-green ore with a faint persistent acrid smell.,Minor poison damage on cut wounds
Sandglass,45,Earth,Common,Fused sand and mineral glass from desert surface deposits.,Mild heat resistance on armor
Morkmetal,55,Shadow,Common,Dull black metal with no reflective surface whatsoever.,Minor stealth bonus on crafted gear
Greycopper,50,None,Common,Plain grey copper alloy common throughout lowland mines.,No notable bonuses
Fogmetal,60,Air,Common,Metal with fine porous channels that bleed trapped air slowly.,Reduces weight of crafted items
Flintore,75,Earth,Common,Flint-hard ore that sparks visibly when struck forcefully.,Adds spark damage on impact weapons
Ashferrite,55,Fire,Common,Fire-tinted ferrite from volcanic mineral fields.,Minor fire damage on weapons
Tidestone,45,Water,Common,Smoothed stone-ore from tidal zone beach deposits.,Minor water resistance on armor
Moldferrite,40,Nature,Common,Ferrite with biological mold patterns bonded to its surface.,Minor nature affinity on weapons
Bleakmetal,55,Shadow,Common,Uniform black metal that swallows surrounding ambient light.,Minor morale debuff aura
Seairon,50,Water,Common,Iron ore from seabed deposits; slightly corroded but durable.,Mild water resistance on armor
Iceglass,55,Ice,Common,Clear glassy ice-mineral ore from frozen glacier beds.,Applies minor chill on hit
Smoulderore,70,Fire,Common,Ore that stays warm to the touch even after long extraction.,Minor burn damage to weapons
Bogferrite,50,Water,Common,Ferrite from waterlogged marsh deposits; slightly spongy.,Minor rust resistance on metal
